datetime,연,월,일,시간,요일,주말,공휴일,10대,20대,30대,40대,50대 이상,우대권,외국인
2022-06-01 05:00:00,2022,6,1,5,2,0,1,133,214,222,121,249,116,6
2022-06-01 06:00:00,2022,6,1,6,2,0,1,154,247,256,140,288,349,0
2022-06-01 07:00:00,2022,6,1,7,2,0,1,74,317,462,269,158,232,0
2022-06-01 08:00:00,2022,6,1,8,2,0,1,139,594,867,505,297,205,0
2022-06-01 09:00:00,2022,6,1,9,2,0,1,216,925,1349,787,463,249,1
2022-06-01 10:00:00,2022,6,1,10,2,0,1,489,786,815,446,917,289,3
2022-06-01 11:00:00,2022,6,1,11,2,0,1,558,897,931,509,1047,395,4
2022-06-01 12:00:00,2022,6,1,12,2,0,1,690,1110,1151,629,1295,353,5
2022-06-01 13:00:00,2022,6,1,13,2,0,1,738,1187,1231,673,1385,436,0
2022-06-01 14:00:00,2022,6,1,14,2,0,1,706,1135,1177,644,1324,441,9
2022-06-01 15:00:00,2022,6,1,15,2,0,1,803,1290,1338,732,1505,464,9
2022-06-01 16:00:00,2022,6,1,16,2,0,1,895,1438,1491,816,1678,419,5
2022-06-01 17:00:00,2022,6,1,17,2,0,1,449,1511,1923,1302,1030,345,5
2022-06-01 18:00:00,2022,6,1,18,2,0,1,414,1395,1776,1202,951,250,12
2022-06-01 19:00:00,2022,6,1,19,2,0,1,340,1147,1459,988,782,209,4
2022-06-01 20:00:00,2022,6,1,20,2,0,1,682,1097,1137,622,1279,220,8
2022-06-01 21:00:00,2022,6,1,21,2,0,1,736,1183,1227,671,1381,174,14
2022-06-01 22:00:00,2022,6,1,22,2,0,1,669,1074,1114,609,1253,117,5
2022-06-01 23:00:00,2022,6,1,23,2,0,1,333,535,555,304,625,27,1
2022-06-02 00:00:00,2022,6,2,0,3,0,0,0,0,0,0,0,0,0
2022-06-02 05:00:00,2022,6,2,5,3,0,0,37,87,177,102,57,263,0
2022-06-02 06:00:00,2022,6,2,6,3,0,0,176,412,834,481,269,618,0
2022-06-02 07:00:00,2022,6,2,7,3,0,0,210,1311,3728,2294,367,466,0
2022-06-02 08:00:00,2022,6,2,8,3,0,0,430,2689,7647,4706,753,554,1
2022-06-02 09:00:00,2022,6,2,9,3,0,0,398,2485,7066,4348,696,772,3
2022-06-02 10:00:00,2022,6,2,10,3,0,0,516,1209,2445,1411,790,811,2
2022-06-02 11:00:00,2022,6,2,11,3,0,0,389,912,1845,1064,596,760,0
2022-06-02 12:00:00,2022,6,2,12,3,0,0,419,983,1987,1147,642,712,8
2022-06-02 13:00:00,2022,6,2,13,3,0,0,503,1179,2385,1376,771,837,3
2022-06-02 14:00:00,2022,6,2,14,3,0,0,459,1077,2177,1256,703,1071,5
2022-06-02 15:00:00,2022,6,2,15,3,0,0,506,1186,2398,1383,775,1186,12
2022-06-02 16:00:00,2022,6,2,16,3,0,0,626,1468,2969,1713,959,994,8
2022-06-02 17:00:00,2022,6,2,17,3,0,0,430,2113,5244,3745,807,832,4
2022-06-02 18:00:00,2022,6,2,18,3,0,0,703,3451,8564,6117,1318,542,2
2022-06-02 19:00:00,2022,6,2,19,3,0,0,402,1973,4897,3498,753,376,3
2022-06-02 20:00:00,2022,6,2,20,3,0,0,608,1424,2879,1661,930,280,0
2022-06-02 21:00:00,2022,6,2,21,3,0,0,635,1488,3009,1736,972,230,5
2022-06-02 22:00:00,2022,6,2,22,3,0,0,630,1478,2988,1724,965,147,1
2022-06-02 23:00:00,2022,6,2,23,3,0,0,263,616,1246,719,403,55,2
2022-06-03 00:00:00,2022,6,3,0,4,0,0,0,0,0,0,0,0,0
2022-06-03 05:00:00,2022,6,3,5,4,0,0,39,92,186,107,60,277,0
2022-06-03 06:00:00,2022,6,3,6,4,0,0,171,401,810,467,262,628,0
2022-06-03 07:00:00,2022,6,3,7,4,0,0,198,1240,3527,2171,347,461,0
2022-06-03 08:00:00,2022,6,3,8,4,0,0,414,2590,7367,4533,725,550,0
2022-06-03 09:00:00,2022,6,3,9,4,0,0,375,2346,6672,4106,657,700,0
2022-06-03 10:00:00,2022,6,3,10,4,0,0,550,1289,2607,1504,842,816,2
2022-06-03 11:00:00,2022,6,3,11,4,0,0,427,1001,2023,1167,654,847,2
2022-06-03 12:00:00,2022,6,3,12,4,0,0,476,1115,2255,1301,728,778,2
2022-06-03 13:00:00,2022,6,3,13,4,0,0,527,1234,2496,1440,806,887,10
2022-06-03 14:00:00,2022,6,3,14,4,0,0,526,1232,2492,1438,805,1081,2
2022-06-03 15:00:00,2022,6,3,15,4,0,0,586,1374,2779,1603,898,1144,4
2022-06-03 16:00:00,2022,6,3,16,4,0,0,736,1726,3490,2013,1128,1044,8
2022-06-03 17:00:00,2022,6,3,17,4,0,0,491,2410,5982,4273,920,839,7
2022-06-03 18:00:00,2022,6,3,18,4,0,0,750,3685,9144,6532,1407,621,6
2022-06-03 19:00:00,2022,6,3,19,4,0,0,456,2241,5562,3973,856,424,4
2022-06-03 20:00:00,2022,6,3,20,4,0,0,636,1491,3016,1740,974,327,6
2022-06-03 21:00:00,2022,6,3,21,4,0,0,654,1534,3101,1789,1002,270,7
2022-06-03 22:00:00,2022,6,3,22,4,0,0,684,1602,3240,1869,1047,176,2
2022-06-03 23:00:00,2022,6,3,23,4,0,0,374,876,1771,1022,572,63,1
2022-06-04 00:00:00,2022,6,4,0,5,1,0,32,51,43,23,51,4,0
2022-06-04 05:00:00,2022,6,4,5,5,1,0,90,146,123,66,147,176,0
2022-06-04 06:00:00,2022,6,4,6,5,1,0,172,280,235,126,281,472,1
2022-06-04 07:00:00,2022,6,4,7,5,1,0,96,414,488,279,178,276,0
2022-06-04 08:00:00,2022,6,4,8,5,1,0,250,1085,1278,730,467,269,0
2022-06-04 09:00:00,2022,6,4,9,5,1,0,443,1919,2261,1292,827,439,0
2022-06-04 10:00:00,2022,6,4,10,5,1,0,860,1398,1171,627,1405,465,0
2022-06-04 11:00:00,2022,6,4,11,5,1,0,934,1518,1271,681,1525,535,5
2022-06-04 12:00:00,2022,6,4,12,5,1,0,1105,1795,1504,806,1805,433,6
2022-06-04 13:00:00,2022,6,4,13,5,1,0,1274,2071,1735,929,2082,510,12
2022-06-04 14:00:00,2022,6,4,14,5,1,0,1222,1985,1663,891,1996,448,5
2022-06-04 15:00:00,2022,6,4,15,5,1,0,1273,2068,1733,928,2079,458,3
2022-06-04 16:00:00,2022,6,4,16,5,1,0,1389,2257,1891,1013,2269,497,3
2022-06-04 17:00:00,2022,6,4,17,5,1,0,765,2604,2676,1775,1529,422,7
2022-06-04 18:00:00,2022,6,4,18,5,1,0,612,2082,2140,1420,1223,261,7
2022-06-04 19:00:00,2022,6,4,19,5,1,0,435,1481,1522,1010,870,242,4
2022-06-04 20:00:00,2022,6,4,20,5,1,0,845,1373,1150,616,1380,214,6
2022-06-04 21:00:00,2022,6,4,21,5,1,0,906,1473,1234,661,1481,160,4
2022-06-04 22:00:00,2022,6,4,22,5,1,0,917,1490,1248,669,1498,121,7
2022-06-04 23:00:00,2022,6,4,23,5,1,0,515,836,700,375,841,57,1
