datetime,연,월,일,시간,요일,주말,공휴일,외국인,우대권,일반
2022-06-01 05:00:00,2022,6,1,5,2,0,1,6.0,116.0,939.0
2022-06-01 06:00:00,2022,6,1,6,2,0,1,0.0,349.0,1085.0
2022-06-01 07:00:00,2022,6,1,7,2,0,1,0.0,232.0,1280.0
2022-06-01 08:00:00,2022,6,1,8,2,0,1,0.0,205.0,2402.0
2022-06-01 09:00:00,2022,6,1,9,2,0,1,1.0,249.0,3740.0
2022-06-01 10:00:00,2022,6,1,10,2,0,1,3.0,289.0,3452.0
2022-06-01 11:00:00,2022,6,1,11,2,0,1,4.0,395.0,3942.0
2022-06-01 12:00:00,2022,6,1,12,2,0,1,5.0,353.0,4875.0
2022-06-01 13:00:00,2022,6,1,13,2,0,1,0.0,436.0,5214.0
2022-06-01 14:00:00,2022,6,1,14,2,0,1,9.0,441.0,4985.0
2022-06-01 15:00:00,2022,6,1,15,2,0,1,9.0,464.0,5668.0
2022-06-01 16:00:00,2022,6,1,16,2,0,1,5.0,419.0,6318.0
2022-06-01 17:00:00,2022,6,1,17,2,0,1,5.0,345.0,6214.0
2022-06-01 18:00:00,2022,6,1,18,2,0,1,12.0,250.0,5739.0
2022-06-01 19:00:00,2022,6,1,19,2,0,1,4.0,209.0,4716.0
2022-06-01 20:00:00,2022,6,1,20,2,0,1,8.0,220.0,4817.0
2022-06-01 21:00:00,2022,6,1,21,2,0,1,14.0,174.0,5199.0
2022-06-01 22:00:00,2022,6,1,22,2,0,1,5.0,117.0,4720.0
2022-06-01 23:00:00,2022,6,1,23,2,0,1,1.0,27.0,2352.0
2022-06-02 00:00:00,2022,6,2,0,3,0,0,0.0,0.0,0.0
2022-06-02 05:00:00,2022,6,2,5,3,0,0,0.0,263.0,460.0
2022-06-02 06:00:00,2022,6,2,6,3,0,0,0.0,618.0,2173.0
2022-06-02 07:00:00,2022,6,2,7,3,0,0,0.0,466.0,7909.0
2022-06-02 08:00:00,2022,6,2,8,3,0,0,1.0,554.0,16225.0
2022-06-02 09:00:00,2022,6,2,9,3,0,0,3.0,772.0,14992.0
2022-06-02 10:00:00,2022,6,2,10,3,0,0,2.0,811.0,6371.0
2022-06-02 11:00:00,2022,6,2,11,3,0,0,0.0,760.0,4806.0
2022-06-02 12:00:00,2022,6,2,12,3,0,0,8.0,712.0,5178.0
2022-06-02 13:00:00,2022,6,2,13,3,0,0,3.0,837.0,6214.0
2022-06-02 14:00:00,2022,6,2,14,3,0,0,5.0,1071.0,5672.0
2022-06-02 15:00:00,2022,6,2,15,3,0,0,12.0,1186.0,6248.0
2022-06-02 16:00:00,2022,6,2,16,3,0,0,8.0,994.0,7735.0
2022-06-02 17:00:00,2022,6,2,17,3,0,0,4.0,832.0,12339.0
2022-06-02 18:00:00,2022,6,2,18,3,0,0,2.0,542.0,20153.0
2022-06-02 19:00:00,2022,6,2,19,3,0,0,3.0,376.0,11523.0
2022-06-02 20:00:00,2022,6,2,20,3,0,0,0.0,280.0,7502.0
2022-06-02 21:00:00,2022,6,2,21,3,0,0,5.0,230.0,7839.0
2022-06-02 22:00:00,2022,6,2,22,3,0,0,1.0,147.0,7785.0
2022-06-02 23:00:00,2022,6,2,23,3,0,0,2.0,55.0,3247.0
2022-06-03 00:00:00,2022,6,3,0,4,0,0,0.0,0.0,0.0
2022-06-03 05:00:00,2022,6,3,5,4,0,0,0.0,277.0,485.0
2022-06-03 06:00:00,2022,6,3,6,4,0,0,0.0,628.0,2111.0
2022-06-03 07:00:00,2022,6,3,7,4,0,0,0.0,461.0,7484.0
2022-06-03 08:00:00,2022,6,3,8,4,0,0,0.0,550.0,15630.0
2022-06-03 09:00:00,2022,6,3,9,4,0,0,0.0,700.0,14157.0
2022-06-03 10:00:00,2022,6,3,10,4,0,0,2.0,816.0,6793.0
2022-06-03 11:00:00,2022,6,3,11,4,0,0,2.0,847.0,5272.0
2022-06-03 12:00:00,2022,6,3,12,4,0,0,2.0,778.0,5875.0
2022-06-03 13:00:00,2022,6,3,13,4,0,0,10.0,887.0,6503.0
2022-06-03 14:00:00,2022,6,3,14,4,0,0,2.0,1081.0,6493.0
2022-06-03 15:00:00,2022,6,3,15,4,0,0,4.0,1144.0,7241.0
2022-06-03 16:00:00,2022,6,3,16,4,0,0,8.0,1044.0,9093.0
2022-06-03 17:00:00,2022,6,3,17,4,0,0,7.0,839.0,14077.0
2022-06-03 18:00:00,2022,6,3,18,4,0,0,6.0,621.0,21518.0
2022-06-03 19:00:00,2022,6,3,19,4,0,0,4.0,424.0,13088.0
2022-06-03 20:00:00,2022,6,3,20,4,0,0,6.0,327.0,7857.0
2022-06-03 21:00:00,2022,6,3,21,4,0,0,7.0,270.0,8080.0
2022-06-03 22:00:00,2022,6,3,22,4,0,0,2.0,176.0,8441.0
2022-06-03 23:00:00,2022,6,3,23,4,0,0,1.0,63.0,4615.0
2022-06-04 00:00:00,2022,6,4,0,5,1,0,0.0,4.0,200.0
2022-06-04 05:00:00,2022,6,4,5,5,1,0,0.0,176.0,572.0
2022-06-04 06:00:00,2022,6,4,6,5,1,0,1.0,472.0,1094.0
2022-06-04 07:00:00,2022,6,4,7,5,1,0,0.0,276.0,1454.0
2022-06-04 08:00:00,2022,6,4,8,5,1,0,0.0,269.0,3811.0
2022-06-04 09:00:00,2022,6,4,9,5,1,0,0.0,439.0,6741.0
2022-06-04 10:00:00,2022,6,4,10,5,1,0,0.0,465.0,5460.0
2022-06-04 11:00:00,2022,6,4,11,5,1,0,5.0,535.0,5929.0
2022-06-04 12:00:00,2022,6,4,12,5,1,0,6.0,433.0,7014.0
2022-06-04 13:00:00,2022,6,4,13,5,1,0,12.0,510.0,8091.0
2022-06-04 14:00:00,2022,6,4,14,5,1,0,5.0,448.0,7757.0
2022-06-04 15:00:00,2022,6,4,15,5,1,0,3.0,458.0,8081.0
2022-06-04 16:00:00,2022,6,4,16,5,1,0,3.0,497.0,8818.0
2022-06-04 17:00:00,2022,6,4,17,5,1,0,7.0,422.0,9349.0
2022-06-04 18:00:00,2022,6,4,18,5,1,0,7.0,261.0,7477.0
2022-06-04 19:00:00,2022,6,4,19,5,1,0,4.0,242.0,5317.0
2022-06-04 20:00:00,2022,6,4,20,5,1,0,6.0,214.0,5365.0
2022-06-04 21:00:00,2022,6,4,21,5,1,0,4.0,160.0,5755.0
2022-06-04 22:00:00,2022,6,4,22,5,1,0,7.0,121.0,5822.0
2022-06-04 23:00:00,2022,6,4,23,5,1,0,1.0,57.0,3267.0
2022-06-05 00:00:00,2022,6,5,0,6,1,0,0.0,0.0,3.0
