수송일자,호선명,역번호,역명,승하차구분,승객유형,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,월,년
2022-06-01,2.0,222,강남,승차,일반,806,472,395,554,687,875,1290,1757,1956,2184,2763,3175,3039,2948,2693,2855,3637,3575,1621,0.0,6,2022
2022-06-01,2.0,222,강남,승차,어린이,0,0,2,5,4,14,17,19,29,31,44,41,25,17,20,18,10,5,0,0.0,6,2022
2022-06-01,2.0,222,강남,승차,중고생,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,승차,청소년,11,8,7,15,20,36,47,81,106,154,162,212,211,200,183,196,198,231,67,0.0,6,2022
2022-06-01,2.0,222,강남,승차,우대권,59,125,97,83,90,116,156,177,205,250,292,287,200,156,132,151,117,83,11,0.0,6,2022
2022-06-01,2.0,222,강남,승차,영어 일반,6,0,0,0,0,2,1,3,0,2,2,3,3,2,1,4,8,5,0,0.0,6,2022
2022-06-01,2.0,222,강남,승차,일어 일반,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,승차,중국어 일반,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,승차,영어 어린이,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,하차,일반,121,601,861,1779,2904,2405,2459,2883,2954,2488,2576,2742,2789,2412,1769,1659,1284,870,637,0.0,6,2022
2022-06-01,2.0,222,강남,하차,어린이,0,0,0,2,13,19,17,26,37,20,17,22,31,25,15,24,5,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,하차,중고생,0,0,0,0,2,1,0,2,0,1,0,1,1,1,0,1,0,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,하차,청소년,1,4,17,54,127,135,146,151,198,158,166,186,174,178,71,106,79,44,27,0.0,6,2022
2022-06-01,2.0,222,강남,하차,우대권,57,224,135,122,159,173,239,176,231,191,172,132,145,94,77,69,57,34,16,0.0,6,2022
2022-06-01,2.0,222,강남,하차,영어 일반,0,0,0,0,1,0,2,0,0,3,5,2,0,7,2,2,4,0,1,0.0,6,2022
2022-06-01,2.0,222,강남,하차,일어 일반,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,하차,중국어 일반,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,6,2022
2022-06-01,2.0,222,강남,하차,영어 어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0,6,2022
2022-06-02,2.0,222,강남,승차,일반,204,500,1543,2468,1796,1391,1826,2277,2825,2896,3545,4615,8304,13421,7810,5722,6276,6140,2201,0.0,6,2022
2022-06-02,2.0,222,강남,승차,어린이,0,0,0,1,11,2,3,2,7,11,9,14,5,9,7,3,4,4,0,0.0,6,2022
2022-06-02,2.0,222,강남,승차,중고생,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0.0,6,2022
2022-06-02,2.0,222,강남,승차,청소년,8,8,32,22,31,20,22,40,51,45,57,66,117,116,83,113,160,310,66,0.0,6,2022
2022-06-02,2.0,222,강남,승차,우대권,61,158,116,160,219,346,353,354,419,715,842,650,571,376,271,200,165,114,35,0.0,6,2022
2022-06-02,2.0,222,강남,승차,영어 일반,0,0,0,0,2,0,0,2,1,5,11,3,0,1,0,0,3,0,2,0.0,6,2022
2022-06-02,2.0,222,강남,승차,일어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,6,2022
2022-06-02,2.0,222,강남,승차,중국어 일반,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,222,강남,승차,영어 어린이,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,222,강남,하차,일반,245,1656,6145,13664,13079,4919,2904,2826,3282,2675,2577,2898,3761,6442,3531,1606,1355,1277,952,0.0,6,2022
2022-06-02,2.0,222,강남,하차,어린이,0,0,2,2,2,5,6,4,3,9,9,8,12,10,9,8,5,0,2,0.0,6,2022
2022-06-02,2.0,222,강남,하차,중고생,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,6,2022
2022-06-02,2.0,222,강남,하차,청소년,3,9,188,69,86,40,53,35,55,56,69,156,155,174,99,59,48,57,26,0.0,6,2022
2022-06-02,2.0,222,강남,하차,우대권,202,460,350,394,553,465,407,358,418,356,344,344,261,166,105,80,65,33,20,0.0,6,2022
2022-06-02,2.0,222,강남,하차,영어 일반,0,0,0,0,0,2,0,5,2,0,0,4,3,1,3,0,1,1,0,0.0,6,2022
2022-06-02,2.0,222,강남,하차,일어 일반,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,222,강남,하차,중국어 일반,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,222,강남,하차,영어 어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-03,2.0,222,강남,승차,일반,226,506,1409,2359,1657,1500,2015,2631,3160,3310,4110,5273,9061,13082,7809,5607,6135,6578,3440,43.0,6,2022
2022-06-03,2.0,222,강남,승차,어린이,0,0,0,4,5,1,2,7,6,6,8,3,9,9,14,7,10,8,1,0.0,6,2022
2022-06-03,2.0,222,강남,승차,중고생,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0.0,6,2022
2022-06-03,2.0,222,강남,승차,청소년,6,11,31,34,21,19,35,55,57,58,101,74,140,152,136,169,200,308,70,0.0,6,2022
2022-06-03,2.0,222,강남,승차,우대권,71,146,132,137,196,321,415,389,495,682,771,694,562,405,293,252,202,134,43,0.0,6,2022
2022-06-03,2.0,222,강남,승차,영어 일반,0,0,0,0,0,0,0,0,5,0,1,2,5,2,4,4,6,0,1,0.0,6,2022
2022-06-03,2.0,222,강남,승차,일어 일반,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0.0,6,2022
