수송일자,호선명,역번호,역명,승하차구분,승객유형,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,월,년
2022-06-01,2.0,230,신림,승차,일반,801,1198,1493,2434,2721,2484,2470,2717,2485,2307,2344,2364,2215,1845,1463,1432,1429,1191,512,2.0,6,2022
2022-06-01,2.0,230,신림,승차,어린이,0,0,0,10,9,25,38,26,52,39,54,44,39,38,14,10,4,1,1,0.0,6,2022
2022-06-01,2.0,230,신림,승차,중고생,0,1,0,0,1,0,0,2,1,3,0,2,1,0,1,0,1,1,0,0.0,6,2022
2022-06-01,2.0,230,신림,승차,청소년,9,7,17,26,31,54,69,83,107,139,127,147,139,108,63,76,80,73,27,0.0,6,2022
2022-06-01,2.0,230,신림,승차,우대권,246,251,256,282,458,484,492,497,466,431,420,422,338,260,213,181,125,63,26,1.0,6,2022
2022-06-01,2.0,230,신림,승차,영어 일반,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,6,2022
2022-06-01,2.0,230,신림,하차,일반,182,605,580,716,919,1040,1256,1461,1603,1860,2068,2435,2901,2947,2701,2811,3471,2814,1946,230.0,6,2022
2022-06-01,2.0,230,신림,하차,어린이,0,0,1,9,11,20,51,35,41,36,34,27,36,29,15,11,10,4,0,1.0,6,2022
2022-06-01,2.0,230,신림,하차,중고생,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,1,1,0.0,6,2022
2022-06-01,2.0,230,신림,하차,청소년,1,2,7,18,49,46,86,92,106,137,114,108,112,108,106,105,100,88,47,3.0,6,2022
2022-06-01,2.0,230,신림,하차,우대권,50,181,172,158,266,379,495,445,391,443,468,500,513,412,277,209,208,107,48,7.0,6,2022
2022-06-01,2.0,230,신림,하차,영어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,230,신림,승차,일반,1155,2596,7949,12165,6097,2439,1808,1851,1779,1509,1504,1927,2263,2634,1571,1285,1226,1145,472,0.0,6,2022
2022-06-02,2.0,230,신림,승차,어린이,0,0,3,4,6,6,2,0,9,2,13,3,8,6,3,7,0,1,0,0.0,6,2022
2022-06-02,2.0,230,신림,승차,중고생,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,0.0,6,2022
2022-06-02,2.0,230,신림,승차,청소년,12,26,125,97,43,38,22,38,27,39,41,128,133,73,58,35,54,42,16,0.0,6,2022
2022-06-02,2.0,230,신림,승차,우대권,457,443,456,533,615,545,549,488,533,541,568,444,438,423,232,184,102,65,23,0.0,6,2022
2022-06-02,2.0,230,신림,승차,중국어 일반,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,230,신림,승차,일어 어린이,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,230,신림,하차,일반,92,514,954,1798,1315,956,969,993,1276,1391,1868,2569,3809,8650,7762,4301,4076,4065,2863,0.0,6,2022
2022-06-02,2.0,230,신림,하차,어린이,0,0,2,1,0,0,1,0,4,6,5,10,15,7,6,3,3,6,6,0.0,6,2022
2022-06-02,2.0,230,신림,하차,중고생,0,0,0,0,1,1,0,0,0,2,0,2,3,0,0,0,1,0,0,0.0,6,2022
2022-06-02,2.0,230,신림,하차,청소년,0,8,135,52,5,15,14,20,47,36,51,99,130,66,67,60,58,72,60,0.0,6,2022
2022-06-02,2.0,230,신림,하차,우대권,59,202,223,280,351,518,599,580,492,591,722,737,660,517,403,257,200,142,65,0.0,6,2022
2022-06-02,2.0,230,신림,하차,중국어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-02,2.0,230,신림,하차,일어 어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-03,2.0,230,신림,승차,일반,1054,2423,7758,11428,5867,2652,2020,2031,1810,1667,1627,1994,2493,2949,1997,1517,1448,1491,765,0.0,6,2022
2022-06-03,2.0,230,신림,승차,어린이,1,1,2,7,6,0,1,1,3,6,13,11,6,8,8,4,1,2,0,0.0,6,2022
2022-06-03,2.0,230,신림,승차,중고생,0,0,1,1,1,0,0,1,0,0,1,2,3,0,1,0,0,0,0,0.0,6,2022
2022-06-03,2.0,230,신림,승차,청소년,8,22,109,105,64,33,33,27,34,36,139,123,117,80,66,44,50,51,29,0.0,6,2022
2022-06-03,2.0,230,신림,승차,우대권,447,441,516,535,579,594,537,477,509,496,529,486,399,339,234,160,120,108,42,0.0,6,2022
2022-06-03,2.0,230,신림,승차,영어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,6,2022
2022-06-03,2.0,230,신림,승차,일어 어린이,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-03,2.0,230,신림,하차,일반,77,519,920,1694,1354,1002,974,1103,1397,1595,2017,2773,4163,8365,7693,4313,4090,3916,3103,1.0,6,2022
2022-06-03,2.0,230,신림,하차,어린이,0,0,1,0,0,3,0,2,8,4,6,10,18,8,5,11,4,7,3,0.0,6,2022
2022-06-03,2.0,230,신림,하차,중고생,0,0,0,0,0,0,0,0,0,2,1,3,2,1,1,0,2,0,1,0.0,6,2022
2022-06-03,2.0,230,신림,하차,청소년,1,11,130,51,10,11,22,16,35,50,106,110,98,112,85,66,52,90,64,0.0,6,2022
2022-06-03,2.0,230,신림,하차,우대권,55,223,188,253,354,473,582,480,533,566,710,726,660,580,454,318,231,150,107,0.0,6,2022
2022-06-03,2.0,230,신림,하차,영어 일반,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.0,6,2022
2022-06-03,2.0,230,신림,하차,일어 어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,6,2022
2022-06-04,2.0,230,신림,승차,일반,945,1379,1852,3349,3500,2985,2819,3055,2817,2588,2620,2740,2550,2058,1622,1479,1372,1418,724,1.0,6,2022
2022-06-04,2.0,230,신림,승차,어린이,0,1,0,10,12,22,37,27,30,31,38,34,33,32,15,18,6,2,1,0.0,6,2022
2022-06-04,2.0,230,신림,승차,중고생,1,1,0,0,0,0,1,1,2,0,1,0,0,2,0,1,0,1,0,0.0,6,2022
2022-06-04,2.0,230,신림,승차,청소년,13,9,27,57,60,60,72,66,71,77,107,85,105,67,74,66,78,63,27,0.0,6,2022
2022-06-04,2.0,230,신림,승차,우대권,342,317,289,376,511,557,510,462,452,427,408,385,372,256,253,188,106,92,23,0.0,6,2022
2022-06-04,2.0,230,신림,승차,영어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-04,2.0,230,신림,하차,일반,104,512,546,835,1052,1225,1381,1734,1983,2241,2297,2904,3455,3361,3009,2990,3448,3043,2586,25.0,6,2022
2022-06-04,2.0,230,신림,하차,어린이,0,0,0,4,2,11,29,54,34,40,36,36,23,25,26,15,10,5,2,0.0,6,2022
2022-06-04,2.0,230,신림,하차,중고생,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-04,2.0,230,신림,하차,청소년,0,8,2,10,20,45,55,85,94,89,74,79,93,127,90,99,97,75,56,2.0,6,2022
2022-06-04,2.0,230,신림,하차,우대권,51,188,146,191,278,366,511,487,423,440,531,551,514,446,306,272,214,133,84,1.0,6,2022
2022-06-04,2.0,230,신림,하차,영어 일반,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-05,2.0,230,신림,승차,일반,442,922,1063,1964,2615,2228,2258,2337,2363,2102,2062,2190,1953,1662,1403,1247,1250,1125,622,0.0,6,2022
2022-06-05,2.0,230,신림,승차,어린이,0,1,2,10,12,16,22,42,29,30,24,22,22,19,14,12,7,5,3,0.0,6,2022
2022-06-05,2.0,230,신림,승차,중고생,0,1,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0.0,6,2022
2022-06-05,2.0,230,신림,승차,청소년,6,9,26,48,39,49,61,63,60,69,68,91,98,71,65,50,47,44,24,0.0,6,2022
2022-06-05,2.0,230,신림,승차,우대권,182,193,196,294,447,475,317,414,415,408,344,304,238,321,212,141,105,57,21,0.0,6,2022
2022-06-05,2.0,230,신림,승차,영어 일반,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-05,2.0,230,신림,승차,중국어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,6,2022
2022-06-05,2.0,230,신림,승차,일어 어린이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-05,2.0,230,신림,하차,일반,107,438,329,544,724,921,1060,1320,1492,1663,1887,2265,2655,2945,2865,2530,2958,2340,2150,5.0,6,2022
2022-06-05,2.0,230,신림,하차,어린이,1,0,0,1,6,21,9,25,28,28,27,39,38,15,17,17,11,5,1,0.0,6,2022
2022-06-05,2.0,230,신림,하차,중고생,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1.0,6,2022
2022-06-05,2.0,230,신림,하차,청소년,1,4,6,16,24,21,30,56,70,74,94,80,87,90,91,76,68,77,43,1.0,6,2022
2022-06-05,2.0,230,신림,하차,우대권,35,150,134,154,309,393,380,388,342,387,410,396,414,362,285,201,151,103,69,0.0,6,2022
2022-06-05,2.0,230,신림,하차,영어 일반,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-05,2.0,230,신림,하차,중국어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,6,2022
2022-06-05,2.0,230,신림,하차,일어 어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2022
2022-06-06,2.0,230,신림,승차,일반,724,999,1146,1855,2075,1825,1747,2027,1887,1869,1801,2096,1840,1698,1306,1260,1195,1026,456,0.0,6,2022
2022-06-06,2.0,230,신림,승차,어린이,2,0,2,0,7,5,18,15,25,26,33,35,33,21,19,12,4,0,0,0.0,6,2022
2022-06-06,2.0,230,신림,승차,중고생,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,0,1,0,0.0,6,2022
2022-06-06,2.0,230,신림,승차,청소년,6,12,16,22,57,48,56,66,85,116,93,92,97,76,76,79,57,37,14,0.0,6,2022
2022-06-06,2.0,230,신림,승차,우대권,230,192,191,233,315,353,341,342,392,372,363,354,267,253,182,152,126,58,19,0.0,6,2022
2022-06-06,2.0,230,신림,승차,영어 일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,6,2022
